,,5th percentile,5th percentile,median,median,95th percentile,95th percentile
ssp245,ch4,0.032783962761244345,-0.01154196846605049,0.03890691410299113,-0.006236757023986406,0.04633355474336709,0.007359143585154659
ssp245,aerosol-radiation_interactions,0.00840250819375718,0.012040866469069905,0.02282454227646022,0.03196780723985895,0.028911042265456793,0.041728364651459404
ssp245,aerosol-cloud_interactions,0.054729394123942565,0.31357892083274197,0.06440686233286186,0.37791897780486783,0.06634739859433769,0.4180032545513101
ssp245,aerosol-total,0.06313190231770005,0.32561978730181207,0.08723140460932188,0.4098867850447268,0.09525844085979407,0.45973161920276934
ssp245,o3,0.016440622611379158,-0.043916638143113196,0.022587750921471472,-0.04364187313254769,0.029433668261201307,-0.035943498116854156
ssp245,bc_on_snow,-0.0041750092451727575,-0.0363444661873661,-0.0019302054414895298,-0.03994367124871627,-0.0004594662721304349,-0.04219965135451161
ssp245,total_anthropogenic,,,,,,
ssp245,total,,,,,,
ssp434,ch4,0.04362336538259631,0.10156359189832492,0.050737968625638785,0.1254132090662009,0.05898125427287665,0.15537856583083287
ssp434,aerosol-radiation_interactions,0.030526270630004987,0.008025910840266132,0.0464245302250787,0.029373883009055857,0.05387899910502866,0.04043735932434572
ssp434,aerosol-cloud_interactions,0.054113558529144345,0.2924767424416099,0.0568979198367533,0.3438742450476298,0.05598855751605869,0.37622639408720004
ssp434,aerosol-total,0.08463982915914947,0.3005026532818761,0.10332245006183194,0.3732481280566856,0.10986755662108705,0.4166637534115457
ssp434,o3,0.02430441268974748,0.03913078952076171,0.03212928283325578,0.055073817542100334,0.03996190716837217,0.0758946973346335
ssp434,bc_on_snow,0.002327923820030546,-0.029572027637765376,0.006033421237344329,-0.02993815010896711,0.008332582973910554,-0.02988339659706911
ssp434,total_anthropogenic,,,,,,
ssp434,total,,,,,,
ssp370-lowNTCF-gidden,ch4,-0.026775390304103475,-0.12248393685716125,-0.015239262888785021,-0.1427409791890604,-0.00798296065904125,-0.15285551124681485
ssp370-lowNTCF-gidden,aerosol-radiation_interactions,0.022198771024828215,0.024028330817313148,0.03629211756654975,0.046327861818283786,0.04272061877439218,0.05843955549602331
ssp370-lowNTCF-gidden,aerosol-cloud_interactions,0.07778864452220868,0.30348461666647447,0.07939879019035745,0.3653258358418532,0.07894117763338215,0.40578526891005084
ssp370-lowNTCF-gidden,aerosol-total,0.09998741554703683,0.32751294748378756,0.11569090775690716,0.411653697660137,0.12166179640777441,0.46422482440607404
ssp370-lowNTCF-gidden,o3,-0.03013619984784696,-0.09358426334418651,-0.019744649771694683,-0.1073750480475977,-0.01298603753483435,-0.11306291872859567
ssp370-lowNTCF-gidden,bc_on_snow,-0.0041165028164683315,-0.029610994481289465,-0.0006649134199320089,-0.03185434482395054,0.0012877156052660751,-0.03320235424946853
ssp370-lowNTCF-gidden,total_anthropogenic,,,,,,
ssp370-lowNTCF-gidden,total,,,,,,
