percentile,scenario,year,variable,Delta T
recommendation,ssp334,2092,ch4,-0.002227776473929688
recommendation,ssp334,2093,ch4,-0.002091487045158491
recommendation,ssp334,2094,ch4,-0.0019359014809591235
recommendation,ssp334,2095,ch4,-0.0017661876118721942
recommendation,ssp334,2096,ch4,-0.0015862034430871308
recommendation,ssp334,2097,ch4,-0.0013988288932247905
recommendation,ssp334,2098,ch4,-0.0012062135146765351
recommendation,ssp334,2099,ch4,-0.0010099614745855967
recommendation,ssp334,2100,ch4,-0.0008112696862676017
recommendation,ssp119,2019,ch4,0.0
recommendation,ssp119,2020,ch4,0.002934714012263029
recommendation,ssp119,2021,ch4,0.005331653923737356
recommendation,ssp119,2022,ch4,0.007193156233173514
recommendation,ssp119,2023,ch4,0.008509520607781595
recommendation,ssp119,2024,ch4,0.009282404783526765
recommendation,ssp119,2025,ch4,0.009521646826358476
recommendation,ssp119,2026,ch4,0.00924153447113124
recommendation,ssp119,2027,ch4,0.008459492701625992
recommendation,ssp119,2028,ch4,0.007194683418180192
recommendation,ssp119,2029,ch4,0.005465989730098264
recommendation,ssp119,2030,ch4,0.0032920015681485726
recommendation,ssp119,2031,ch4,0.0006915522089881443
recommendation,ssp119,2032,ch4,-0.0022651475647231245
recommendation,ssp119,2033,ch4,-0.005471337543782262
recommendation,ssp119,2034,ch4,-0.008848840966968863
recommendation,ssp119,2035,ch4,-0.012339348008765183
recommendation,ssp119,2036,ch4,-0.01590146244516466
recommendation,ssp119,2037,ch4,-0.019504943204979586
recommendation,ssp119,2038,ch4,-0.023128414016391097
recommendation,ssp119,2039,ch4,-0.026757179820511234
recommendation,ssp119,2040,ch4,-0.030381023533976537
recommendation,ssp119,2041,ch4,-0.03399366025531342
recommendation,ssp119,2042,ch4,-0.03758576437809413
recommendation,ssp119,2043,ch4,-0.04114727707518223
recommendation,ssp119,2044,ch4,-0.04467137231301488
recommendation,ssp119,2045,ch4,-0.0481536709412787
recommendation,ssp119,2046,ch4,-0.051592762162492034
recommendation,ssp119,2047,ch4,-0.05498839693530999
recommendation,ssp119,2048,ch4,-0.05834178047411592
recommendation,ssp119,2049,ch4,-0.0616535445073636
recommendation,ssp119,2050,ch4,-0.06492675071409304
recommendation,ssp119,2051,ch4,-0.06816289102089917
recommendation,ssp119,2052,ch4,-0.07135240858939748
recommendation,ssp119,2053,ch4,-0.07447606908447796
recommendation,ssp119,2054,ch4,-0.07752119462487331
recommendation,ssp119,2055,ch4,-0.08048007384379824
recommendation,ssp119,2056,ch4,-0.08334935886193534
recommendation,ssp119,2057,ch4,-0.08612785458226019
recommendation,ssp119,2058,ch4,-0.08881600693063543
recommendation,ssp119,2059,ch4,-0.09141614275882132
recommendation,ssp119,2060,ch4,-0.09393144559225264
recommendation,ssp119,2061,ch4,-0.09636517108751444
recommendation,ssp119,2062,ch4,-0.09872066177874603
recommendation,ssp119,2063,ch4,-0.10100195685023472
recommendation,ssp119,2064,ch4,-0.10321304841170745
recommendation,ssp119,2065,ch4,-0.10535729535934452
recommendation,ssp119,2066,ch4,-0.10743883627729789
recommendation,ssp119,2067,ch4,-0.10946180164248973
recommendation,ssp119,2068,ch4,-0.11142972276760388
recommendation,ssp119,2069,ch4,-0.11334631959820166
recommendation,ssp119,2070,ch4,-0.11521483956090289
recommendation,ssp119,2071,ch4,-0.11703882769424745
recommendation,ssp119,2072,ch4,-0.11882460216992494
recommendation,ssp119,2073,ch4,-0.12058123784936989
recommendation,ssp119,2074,ch4,-0.12231485300526626
recommendation,ssp119,2075,ch4,-0.12403125588001684
recommendation,ssp119,2076,ch4,-0.12573348590442507
recommendation,ssp119,2077,ch4,-0.12742570612676962
recommendation,ssp119,2078,ch4,-0.12910972772457188
recommendation,ssp119,2079,ch4,-0.13078816949240066
recommendation,ssp119,2080,ch4,-0.13246232555853704
recommendation,ssp119,2081,ch4,-0.1341337899118121
recommendation,ssp119,2082,ch4,-0.13579983296676343
recommendation,ssp119,2083,ch4,-0.13745637961430893
recommendation,ssp119,2084,ch4,-0.1390996511802264
recommendation,ssp119,2085,ch4,-0.1407280578351856
recommendation,ssp119,2086,ch4,-0.1423403331810772
recommendation,ssp119,2087,ch4,-0.14393612336167366
recommendation,ssp119,2088,ch4,-0.14551576236511696
recommendation,ssp119,2089,ch4,-0.14708011429371431
recommendation,ssp119,2090,ch4,-0.1486290978083156
recommendation,ssp119,2091,ch4,-0.15016393998093572
recommendation,ssp119,2092,ch4,-0.15168348774296794
recommendation,ssp119,2093,ch4,-0.15318545258872232
recommendation,ssp119,2094,ch4,-0.15466737364846225
recommendation,ssp119,2095,ch4,-0.15612868242613454
recommendation,ssp119,2096,ch4,-0.15756957006400393
recommendation,ssp119,2097,ch4,-0.15898599871145302
recommendation,ssp119,2098,ch4,-0.16036936455183318
recommendation,ssp119,2099,ch4,-0.16171582702321036
recommendation,ssp119,2100,ch4,-0.163022401410414
recommendation,ssp460,2019,ch4,0.0
recommendation,ssp460,2020,ch4,0.00485352166822689
recommendation,ssp460,2021,ch4,0.009688920080302421
recommendation,ssp460,2022,ch4,0.014534480157593899
recommendation,ssp460,2023,ch4,0.01936582365535161
recommendation,ssp460,2024,ch4,0.024166533264713796
recommendation,ssp460,2025,ch4,0.02892563919683705
recommendation,ssp460,2026,ch4,0.03363528867844379
recommendation,ssp460,2027,ch4,0.03829129806709186
recommendation,ssp460,2028,ch4,0.04289082289311397
recommendation,ssp460,2029,ch4,0.04743291774218822
recommendation,ssp460,2030,ch4,0.05191756166499628
recommendation,ssp460,2031,ch4,0.05634497015730716
recommendation,ssp460,2032,ch4,0.06071026380285377
recommendation,ssp460,2033,ch4,0.06500400577329613
recommendation,ssp460,2034,ch4,0.06922081390114737
recommendation,ssp460,2035,ch4,0.07335876257843815
recommendation,ssp460,2036,ch4,0.07741799042728142
recommendation,ssp460,2037,ch4,0.0814001737752642
recommendation,ssp460,2038,ch4,0.0853072308536792
recommendation,ssp460,2039,ch4,0.08914165516601863
recommendation,ssp460,2040,ch4,0.09290764644070026
recommendation,ssp460,2041,ch4,0.09660807535478949
recommendation,ssp460,2042,ch4,0.10023687878185816
recommendation,ssp460,2043,ch4,0.10378311007432278
recommendation,ssp460,2044,ch4,0.10723973705010292
recommendation,ssp460,2045,ch4,0.11060387585421821
recommendation,ssp460,2046,ch4,0.11387567832091905
recommendation,ssp460,2047,ch4,0.1170563143453327
recommendation,ssp460,2048,ch4,0.12014888039493593
recommendation,ssp460,2049,ch4,0.1231570982655752
recommendation,ssp460,2050,ch4,0.12608512661059695
recommendation,ssp460,2051,ch4,0.12893699742285541
recommendation,ssp460,2052,ch4,0.13171262535068912
recommendation,ssp460,2053,ch4,0.1344084516399635
recommendation,ssp460,2054,ch4,0.13702438559526292
recommendation,ssp460,2055,ch4,0.13956088906977748
recommendation,ssp460,2056,ch4,0.14202043299110317
recommendation,ssp460,2057,ch4,0.14440574021580183
recommendation,ssp460,2058,ch4,0.14672014899306574
recommendation,ssp460,2059,ch4,0.14896780788265085
recommendation,ssp460,2060,ch4,0.1511522729417582
recommendation,ssp460,2061,ch4,0.15327745004537235
recommendation,ssp460,2062,ch4,0.1553403860036212
recommendation,ssp460,2063,ch4,0.15733303774563723
recommendation,ssp460,2064,ch4,0.1592514572063033
recommendation,ssp460,2065,ch4,0.16109433112001936
recommendation,ssp460,2066,ch4,0.16286190555894992
recommendation,ssp460,2067,ch4,0.16455598002381044
recommendation,ssp460,2068,ch4,0.16617910597987778
recommendation,ssp460,2069,ch4,0.16773438988006412
recommendation,ssp460,2070,ch4,0.16922535060484684
recommendation,ssp460,2071,ch4,0.17065540649798866
recommendation,ssp460,2072,ch4,0.17202245838378644
recommendation,ssp460,2073,ch4,0.1733198997652612
recommendation,ssp460,2074,ch4,0.17454473836406637
recommendation,ssp460,2075,ch4,0.17569630669969227
recommendation,ssp460,2076,ch4,0.17677486775050233
recommendation,ssp460,2077,ch4,0.1777829394946555
recommendation,ssp460,2078,ch4,0.17872278251027596
recommendation,ssp460,2079,ch4,0.17959801033447842
recommendation,ssp460,2080,ch4,0.18041167458069418
recommendation,ssp460,2081,ch4,0.18116721479972397
recommendation,ssp460,2082,ch4,0.1818656069356503
recommendation,ssp460,2083,ch4,0.18250637775892764
recommendation,ssp460,2084,ch4,0.18308992865487622
recommendation,ssp460,2085,ch4,0.183617279984708
recommendation,ssp460,2086,ch4,0.18409112352632107
recommendation,ssp460,2087,ch4,0.18451342449992442
recommendation,ssp460,2088,ch4,0.18488678850996126
recommendation,ssp460,2089,ch4,0.18521429114277904
recommendation,ssp460,2090,ch4,0.1854985928320409
recommendation,ssp460,2091,ch4,0.18574244007644575
recommendation,ssp460,2092,ch4,0.18595055867238924
recommendation,ssp460,2093,ch4,0.18612844021447167
recommendation,ssp460,2094,ch4,0.18628053600244115
recommendation,ssp460,2095,ch4,0.18641056962354624
recommendation,ssp460,2096,ch4,0.18652171100228793
recommendation,ssp460,2097,ch4,0.18661631521196004
recommendation,ssp460,2098,ch4,0.1866961357115972
recommendation,ssp460,2099,ch4,0.1867636545375439
recommendation,ssp460,2100,ch4,0.1868199388530995
recommendation,ssp585,2019,ch4,0.0
recommendation,ssp585,2020,ch4,0.003555190453524537
recommendation,ssp585,2021,ch4,0.006741502727622917
recommendation,ssp585,2022,ch4,0.009644848480783508
recommendation,ssp585,2023,ch4,0.012377807987831724
recommendation,ssp585,2024,ch4,0.015021306608113405
recommendation,ssp585,2025,ch4,0.01763216425704961
recommendation,ssp585,2026,ch4,0.020250157704957472
recommendation,ssp585,2027,ch4,0.022902343690201388
recommendation,ssp585,2028,ch4,0.025605370962004048
recommendation,ssp585,2029,ch4,0.028369549823352935
recommendation,ssp585,2030,ch4,0.031200474398153488
recommendation,ssp585,2031,ch4,0.034099781806672336
recommendation,ssp585,2032,ch4,0.03708974498714479
recommendation,ssp585,2033,ch4,0.04020632793966
recommendation,ssp585,2034,ch4,0.04347058896297551
recommendation,ssp585,2035,ch4,0.046892996247794416
recommendation,ssp585,2036,ch4,0.05047658850015174
recommendation,ssp585,2037,ch4,0.0542189455615939
recommendation,ssp585,2038,ch4,0.05811451727807598
recommendation,ssp585,2039,ch4,0.062154585068373125
recommendation,ssp585,2040,ch4,0.06632948884776674
recommendation,ssp585,2041,ch4,0.07062890196341981
recommendation,ssp585,2042,ch4,0.07502691295079594
recommendation,ssp585,2043,ch4,0.07948942925729452
recommendation,ssp585,2044,ch4,0.08399113723167317
recommendation,ssp585,2045,ch4,0.08851330817193814
recommendation,ssp585,2046,ch4,0.09304209536008617
recommendation,ssp585,2047,ch4,0.09756688451465162
recommendation,ssp585,2048,ch4,0.10208073355789166
recommendation,ssp585,2049,ch4,0.10657817527492369
recommendation,ssp585,2050,ch4,0.11105484313144903
recommendation,ssp585,2051,ch4,0.11550842024898983
recommendation,ssp585,2052,ch4,0.11989926551193958
recommendation,ssp585,2053,ch4,0.12416346399009476
recommendation,ssp585,2054,ch4,0.1282599864074378
recommendation,ssp585,2055,ch4,0.1321631084676394
recommendation,ssp585,2056,ch4,0.13585874631556616
recommendation,ssp585,2057,ch4,0.13934179125101787
recommendation,ssp585,2058,ch4,0.1426120863666948
recommendation,ssp585,2059,ch4,0.14567348487499232
recommendation,ssp585,2060,ch4,0.1485323725738888
recommendation,ssp585,2061,ch4,0.1511973372957769
recommendation,ssp585,2062,ch4,0.15367855259391355
recommendation,ssp585,2063,ch4,0.15598694033575666
recommendation,ssp585,2064,ch4,0.15813316080851386
recommendation,ssp585,2065,ch4,0.1601283901670526
recommendation,ssp585,2066,ch4,0.1619822328032145
recommendation,ssp585,2067,ch4,0.16370425065952443
recommendation,ssp585,2068,ch4,0.16530357651723948
recommendation,ssp585,2069,ch4,0.1667886236067176
recommendation,ssp585,2070,ch4,0.16816686154001642
recommendation,ssp585,2071,ch4,0.16944620264880284
recommendation,ssp585,2072,ch4,0.17061849069993745
recommendation,ssp585,2073,ch4,0.17166549751189952
recommendation,ssp585,2074,ch4,0.17257705726786837
recommendation,ssp585,2075,ch4,0.17334859544779613
recommendation,ssp585,2076,ch4,0.17398010935327674
recommendation,ssp585,2077,ch4,0.1744734071819134
recommendation,ssp585,2078,ch4,0.17483244782215845
