scenario,variable,near-term (2021-2040)-(1995-2014),mid-term (2041-2060)-(1995-2014),long-term (2081-2100)-(1995-2014)
ssp460,aerosol-total-with_bc-snow,0.10020565367015422,0.1090158618167496,0.24806856706019753
ssp460,bc_on_snow,0.020228622389544364,0.018763400677651906,-0.008454669044587082
ssp460,ch4,0.0730007527935484,0.1449009786141146,0.20284769868671115
ssp460,co2,0.5066899839898412,0.9921670697265422,1.8500547803093252
ssp460,contrails,0.01230501022322459,0.018771059653514707,0.02696889738684525
ssp460,h2o_stratospheric,0.006709837840074603,0.013318521140712844,0.01864467299767946
ssp460,land_use,-0.007948115737212089,-0.014747370909101956,-0.023519875731633985
ssp460,n2o,0.03840665916607357,0.07070030509584325,0.13523299952810175
ssp460,o3,0.06552122005470346,0.11330713264147713,0.13389794106441616
ssp460,other_wmghg,0.023419658172783908,0.02772773815814672,-0.01802492314281262
ssp460,solar,-0.0037998463666047127,-0.010422438561197286,-0.017638516328154358
