year,BC,CH4,CO2,HC,N2O,NH3,NOx,OC,SO2,VOC
1801,0.000652695730253965,0.021615255460102165,0.029271330533216622,0.0,0.0019969366409718684,-0.0001909662980586894,-6.550679171606949e-05,-0.004575544810284738,-0.0010811960379700245,0.007172824000370711
1802,0.0006710283898439553,0.02208519852557863,0.029907726379971453,0.0,0.002040352575997622,-0.00019562138237129895,-7.141982200090144e-05,-0.004714457571715744,-0.0011800092415119945,0.007368028065702863
1803,0.0006913093046106021,0.022555918610424774,0.030545174464616458,0.0,0.002083840296362793,-0.00020160271312211935,-7.423574516273181e-05,-0.0048677164560611995,-0.0012487093768024787,0.007591950768841267
1804,0.0007158456177408663,0.02302741298623388,0.031183671092349374,0.0,0.002127399550002108,-0.00020859730553791936,-7.740152349971569e-05,-0.005036509503633428,-0.0013231435878939767,0.007849997387104504
1805,0.0007398909940332914,0.02349967893588644,0.03182321258365304,0.0,0.0021710300858930956,-0.00021635829920700766,-8.045330267698672e-05,-0.005209431629961854,-0.0013905077863109415,0.008115906117478748
1806,0.0007660942088871245,0.02397271375307227,0.03246379527364826,0.0,0.0022147316540118453,-0.00022470528482911072,-8.403203727308456e-05,-0.0053908501073071016,-0.0014693516500634163,0.008399615603392625
1807,0.000792914175892985,0.024446514741925333,0.0331054155115993,0.0,0.002258504005299371,-0.00023349356840025954,-8.727789597724098e-05,-0.005576040636651803,-0.0015477075556789128,0.00869301163190521
1808,0.000818988924762998,0.02492107921674274,0.0337480696605333,0.0,0.002302346891635643,-0.00024263145674447264,-9.038784151511294e-05,-0.005762237621372639,-0.001594645665082885,0.008987431658867052
1809,0.0008451449452587602,0.02539640450176664,0.034391754096944976,0.0,0.0023462600658193432,-0.00025204295217658526,-9.325662827200524e-05,-0.005950020794682611,-0.0016333190040847096,0.009285854099873194
1810,0.0008746579591987288,0.02587248793101305,0.035036465210564804,0.0,0.002390243281552155,-0.00026167244125885,-9.646988276842502e-05,-0.006146320064376426,-0.0016757085299195771,0.009597423559048565
1811,0.0009016723026947086,0.026349326848135925,0.0356821994041749,0.0,0.002434296293426196,-0.0002703388015435435,-0.00010022536965083485,-0.006340303590891716,-0.0017417586635149157,0.009893180187046352
1812,0.0009261865919615223,0.02682691860631733,0.036328953093460355,0.0,0.002478418856913778,-0.0002782912349395798,-0.00010401248493075398,-0.006531313737709164,-0.0018140031150337436,0.010174414997358345
1813,0.0009477127792997023,0.027305260568177364,0.0369767227068872,0.0,0.002522610728359186,-0.0002857155427769916,-0.00010746258763453357,-0.006717832425745085,-0.0018759105571760385,0.01043961104288416
1814,0.0009675286214628465,0.027784350105698696,0.03762550468560026,0.0,0.0025668716649716724,-0.00029275112350929904,-0.00011092921820217033,-0.0069020540035376315,-0.001935200888616138,0.010695152771758008
1815,0.0009864677850216482,0.028264184600162157,0.03827529548333588,0.0,0.0026112014248195307,-0.00029950193108522214,-0.00011445394469213613,-0.0070853496967978845,-0.001998535766547732,0.010945288294008756
1816,0.00100733840600055,0.02874476144209049,0.03892609156634583,0.0,0.0026555997668248127,-0.0003060367001218088,-0.0001182572311958257,-0.007272118202137137,-0.0020999027911481833,0.011202867546361583
1817,0.0010269200639897633,0.029226078031198387,0.03957788941332956,0.0,0.0027000664507588067,-0.0003124241848773508,-0.00012183448077304418,-0.007456835026233208,-0.00219557251653614,0.01145379931995716
1818,0.0010445780186369104,0.029708131776347103,0.0402306855153728,0.0,0.0027446012372378406,-0.00031870668449447405,-0.00012518017064884308,-0.007638319611782437,-0.0022773827213320927,0.01169529487961307
1819,0.0010645677965424349,0.030190920095502564,0.04088447637589078,0.0,0.0027892038877193165,-0.00032491615179746226,-0.00012822350218119413,-0.007826446963041227,-0.0023440418704443345,0.011933765251817444
1820,0.0010839709012312915,0.030674440415696166,0.041539258510575175,0.0,0.0028338741644981904,-0.00033107673094271605,-0.0001312290226783226,-0.008013910610700937,-0.0024072629029587853,0.012169354517571083
1821,0.0011077638397872726,0.03115869017298748,0.04219502844734348,0.0,0.0028786118307035226,-0.0003385010972518888,-0.0001345107804634929,-0.008228725218798007,-0.0024745695488075747,0.012448509434759624
1822,0.0011359845567011566,0.031643666812428584,0.04285178272629109,0.0,0.002923416650295082,-0.0003468820551299789,-0.00013843625339546203,-0.008466132765495068,-0.002558905237404364,0.012765312801353722
1823,0.001170272557958499,0.03212936778802948,0.04350951789964405,0.0,0.0029682883880602596,-0.0003559902971505014,-0.00014336798348355982,-0.008727089701577054,-0.0026644749684190706,0.013113058095360147
1824,0.0012076999410487288,0.032615790562724456,0.044168230531713634,0.0,0.0030132268096109464,-0.0003656542557792852,-0.0001488875026231361,-0.009002250112294143,-0.002777990704065903,0.013483484008603296
1825,0.0012463470893786706,0.033102932608339075,0.0448279171988517,0.0,0.0030582316813803985,-0.0003757457501468084,-0.00015415738707275187,-0.00928521070727496,-0.0028921435284095845,0.01386610766979832
