,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1841,0.10247886703432302,0.006937358470168415,0.07562503140713198,-0.0005941914267533711,-0.012769040399476695,0.004045748100303624,-0.028006962264961764,-0.0010435614773791116,0.04044847927905341,0.0
1842,0.10360500843030462,0.007013593178631735,0.07645607570830926,-0.0006197661074446807,-0.013538897779226003,0.004054443825718523,-0.028480314637217778,-0.0010603483387248208,0.04131054897007879,0.0
1843,0.10473114982628626,0.007089827887095272,0.07728712000948662,-0.000640694675765801,-0.014172249225545741,0.004164275431647845,-0.02918744938414136,-0.0010771540668345282,0.042151979041404664,0.0
1844,0.10585729122226786,0.007166062595558592,0.0781181643106639,-0.0006750882910195956,-0.015393193042521207,0.004291961604828178,-0.02992523136737592,-0.001094026771093811,0.04306684740690575,0.0
1845,0.1069834326182495,0.007242297304021913,0.07894920861184117,-0.0007175745280556292,-0.016803583733179948,0.00446116698056414,-0.030736020332369256,-0.0011108687902135848,0.044120891864740004,0.0
1846,0.1081095740142311,0.007318532012485449,0.07978025291301843,-0.0007411723427921867,-0.016992212555437525,0.004582155754059114,-0.03146924800616467,-0.0011278147668501574,0.04478322651115549,0.0
1847,0.10923571541021274,0.007394766720948768,0.0806112972141957,-0.0007910051051822136,-0.01840835083742472,0.004790825550707894,-0.03236152519598555,-0.001144813594026008,0.04585288142209569,0.0
1848,0.11036185680619434,0.007471001429412089,0.08144234151537295,-0.000812558051837984,-0.019142627308797407,0.004823635973509049,-0.03287587065090856,-0.0011617800480500625,0.04656929871143235,0.0
1849,0.11148799820217598,0.0075472361378756255,0.08227338581655023,-0.0008461457394926808,-0.020188053393705104,0.004930119001714783,-0.03353413948653502,-0.0011788143631696459,0.04749575917708623,0.0
1850,0.1126141395981576,0.007623470846338946,0.0831044301177275,-0.000894458423249128,-0.021460227896970725,0.005102031256733454,-0.03434046268344671,-0.0011959121229313547,0.04857957643236107,0.0
1851,0.11452094483360754,0.00793272494151188,0.08328354378306393,-0.0009095017452839803,-0.02175793229245799,0.005172439576468982,-0.03494944832623479,-0.0012080557470811363,0.04898177021888297,2.9174491196510974e-10
1852,0.11667822900811262,0.008241788263794559,0.0840826545537602,-0.0009469879690727387,-0.022561866733781133,0.005294141416358328,-0.03573165711192796,-0.0012206429708350444,0.04971613575742894,5.834898239301063e-10
1853,0.11861642286889004,0.008634605538246272,0.08540316328669022,-0.0009861264190122185,-0.02335001250101007,0.005429159027228724,-0.0365727285769823,-0.0012333325678468995,0.05053919177213861,8.752347358952129e-10
1854,0.12027347469314134,0.009038938981123857,0.08681606019310063,-0.0010968715175323268,-0.026538015779206815,0.005735267357762523,-0.03773637716711997,-0.0012461168440440907,0.05210326568912017,1.1669796478602092e-09
1855,0.12161740397756368,0.009473865881526468,0.0885171202120287,-0.001119448450230147,-0.027007464922775882,0.005821830029320972,-0.038499205245244576,-0.0012587812696176134,0.05269723803259082,1.4587245598253157e-09
1856,0.12316467198448715,0.00991239885487013,0.09007422806989956,-0.0011876256773328156,-0.02883618529988987,0.005973173976682808,-0.03934760898170508,-0.0012715639104139125,0.053764718327702084,1.7504694717904227e-09
1857,0.12544701424653945,0.010309171177062303,0.09183474518366513,-0.0012190448274269083,-0.029414604761439415,0.006030325050766048,-0.04003002635382104,-0.0012843600062180044,0.0544180763895851,2.042214383755422e-09
1858,0.12788544045757155,0.010644872909133447,0.09385702878895748,-0.001262055943315192,-0.030159948655396628,0.006091055535884145,-0.04074138818054961,-0.001297249840667269,0.05509592234307191,2.333959295720529e-09
1859,0.1304966568506482,0.011201708339915744,0.09602559366892414,-0.001343020829952546,-0.032426715246261374,0.006266138785859351,-0.0416381441236617,-0.0013101335018273555,0.05621336934592666,2.6257042076855256e-09
1860,0.13338901528026695,0.01184241404780411,0.09806178725831807,-0.001455395825508816,-0.035321516004761966,0.006474312870460469,-0.04259654943236881,-0.001323068955737186,0.05752871343249334,2.917449119650632e-09
1861,0.13628137370987062,0.01257071243066537,0.10027919882664421,-0.0015470763906166593,-0.036838891308892154,0.006620763244497229,-0.043199925074510925,-0.0013452293418886082,0.0582728377111175,3.209194031615742e-09
1862,0.13875130310327663,0.013268533680934523,0.1030721602488032,-0.0016080617283486156,-0.03740140348459182,0.006715437447733319,-0.043790763831658065,-0.0013674939948645562,0.05884255780208366,3.5009389435807354e-09
1863,0.14128376154044117,0.013886323376908613,0.10640256463811489,-0.0017004347396619437,-0.04019960844336596,0.0069420733952250575,-0.044641707125943265,-0.0013902134437599573,0.05993336651877065,3.792683855545842e-09
1864,0.14381621997760569,0.014481313385901346,0.11005192819777287,-0.0018085298470953755,-0.0431493877803741,0.007169720632533661,-0.04546291723535335,-0.0014126189813855239,0.061011110133811164,4.084428767510844e-09
1865,0.14636490732690782,0.015118064046045572,0.11354459416907788,-0.0019243225604323843,-0.045583848084010434,0.0073612653377712455,-0.04624266484998347,-0.001435085092283835,0.06198391747020739,4.376173679475951e-09
