"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"N2O","tkl","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","diesel_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","heavy_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","light_oil","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkl","process","ktN2O",0.000483758810518724,0.000468813341068531,0.000556324909452679,0.000546969393084966,0.000538654889634825,0.000529636139023419,0.000520595062064734,0.000511754712977792,0.000503702923391103,0.000497341036911868,0.000492438090489206,0.000489348019176273,0.000487356793489215,0.000485698569449876,0.000483089895980895,0.000478934590666308,0.000472965220914771,0.000465481758137241,0.000457104259159552,0.000448243381982436,0.00044018467973879,0.000432499021767904,0.00042553125120095,0.000419723368405319,0.000414483061611303,0.000409861263174442,0.000407140629969203,0.000406847387394257,0.000406693363435949,0.000406036260492459,0.000404008250583901,0.000400326628917358,0.000395380084367369,0.000389787091728455,0.000384482613727032,0.000380215627509829,0.000377208981363264,0.000375175801870637,0.000374075813462118,0.000373566087212178,0.000373540410327566,0.00037394860956063,0.000374866486404407,0.000376093092299175,0.00037743965911861,0.00037743965911861,0.00037743965911861,0.00037743965911861,0.000377439659118611,0.000377439659118611
"N2O","tkm","biomass","ktN2O",0.0425591525141278,0.0433189158343087,0.0441552729781311,0.0450521917583692,0.0460943249418374,0.0472335465467959,0.0483730952110496,0.0495463781109717,0.0507800369996692,0.0520558255150024,0.0533824655290051,0.0547500395902309,0.0561466641628786,0.0575858050841665,0.0590428017862125,0.060559610581888,0.0622195519431024,0.0639539465924743,0.0655840420034588,0.0672120556481986,0.0690684330233566,0.0709040045666502,0.0726339126117824,0.0384203285517291,0.0442806490612057,0.0439844958012979,0.0431602907355451,0.0460824425405087,0.0486287002928463,0.0538048695012552,0.0512128396955533,0.0498139462599903,0.0569677462804943,0.0625224348012537,0.0673848029387553,0.0642758778745309,0.0643481750449845,0.0722059047316286,0.0747747927161346,0.0627343627402526,0.0692687633410393,0.0729438024710794,0.0753608549076845,0.0754122144845844,0.0740908402612358,0.0744958595394821,0.0748572089672822,0.0751717165871753,0.0751717165871753,0.0751717165871753
"N2O","tkm","brown_coal","ktN2O",0.000569436185323683,0.000632902901344989,0.000662076143501962,0.000702392640577802,0.00074322035281347,0.000762556950399646,0.000793736441779019,0.000786963999253828,0.00080625735205307,0.000798045475905651,0.000840477878627904,0.000778764478759818,0.000783657317510058,0.000777826844962709,0.000760399706616174,0.000747003178466598,0.000731581082846192,0.00076803241193932,0.000681756719254512,0.000826569446817818,0.000949541425087843,0.000803274551646189,0.000542338571449778,0,1.56930716249559e-05,1.67046509282591e-05,0.000127109089262434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkm","coal_coke","ktN2O",5.30783965827568e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,5.90736494473459e-06,6.00675202534724e-06,6.01146747077774e-06,5.92550127331357e-06,5.83917234927778e-06,5.75284342524196e-06,5.66651450120618e-06,5.66651450120618e-06,5.56288165077877e-06,5.48154252827449e-06,4.79236675290102e-06,5.86028759451825e-06,7.51996609966937e-06,5.06733543570704e-06,2.6758906362075e-06,0,3.0166952596918e-07,2.88655673484826e-07,1.69113110682348e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","tkm","diesel_oil","ktN2O",0.00375080357915135,0.00387895668520221,0.00436076393662734,0.00480174006505033,0.00521005129507162,0.00525088241807373,0.00544687180848395,0.00561019630049247,0.0057816870171014,0.00591234661070823,0.00604300620431505,0.00632882406532993,0.00645948365893675,0.00633118769413557,0.00626471360704152,0.00616068969408341,0.00544187480489384,0.00560280340374207,0.00573488989266778,0.00584668704585005,0.0085248324027979,0.00991599022427873,0.00855523644775019,0.00314706558987102,0.00293718070343708,0.0027510330428354,0.00349364199384071,0.00300724989694753,0.00328157561985477,0.00318352166403494,0.00287060844717394,0.00254967754001167,0.00282049103454616,0.00312292250559362,0.00347383328081295,0.00386391009463967,0.00404740299467163,0.00592149702852734,0.00670477461995982,0.00793065278706141,0.00851698060451332,0.00959146821368442,0.00953151378683363,0.0109338992344807,0.0146827968277939,0.0159943529422308,0.0143749922198758,0.0153294257650435,0.0158410683474064,0.0168756480530164
"N2O","tkm","hard_coal","ktN2O",0.0041526690221919,0.00347038909098372,0.00363035438915985,0.00385142136695588,0.00407529148487032,0.00418131962469588,0.00435228576581396,0.00431515051077122,0.00442094152696139,0.00437591344234058,0.00460858254086833,0.00427019017576054,0.00429701902136496,0.00424247613362984,0.00409739606895267,0.00398009706537259,0.00387496805252049,0.00402969281370758,0.00360181777563201,0.00434895900386424,0.00503091589374565,0.00451978482109657,0.00185264601111934,0,5.08378142425513e-05,5.3546831343067e-05,0.000409100535547065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
