year,CO2,N2O,CH4,NOx,SO2,BC,OC,NH3,VOC,HC
1855,0.05735838811858654,0.004140262823687204,0.041363043446567264,-0.0004144771878792755,-0.01132051262758598,0.004149161491452481,-0.018358209142718674,-0.000641749029820898,0.023462169540719502,2.5808949348523906e-10
1856,0.05816825176755783,0.004292674724205163,0.04196266076739881,-0.0004344348414509665,-0.01191298298697643,0.004265486742165,-0.018797090028937213,-0.000649696572028214,0.023899937703898096,3.591181501576179e-10
1857,0.05897727247042148,0.004459489683673807,0.04260618077779989,-0.0004568322092554506,-0.012587050432577953,0.004382941571629491,-0.019239245759915685,-0.0006575469876821941,0.0243586696665557,4.680808573222834e-10
1858,0.05986943505184379,0.0046323504961342755,0.04330572493996184,-0.00047717324514917375,-0.013169404467887887,0.004483746169807888,-0.0196637048859339,-0.000665329275087403,0.024787098476363657,5.830483319573186e-10
1859,0.06084193632439841,0.004802772709233581,0.04407696440205245,-0.0004972142642755891,-0.013703868358937549,0.004572802255484515,-0.020078669251317134,-0.0006730750246051152,0.02519576528451349,7.025796337183928e-10
1860,0.06189462115600437,0.004997015902516079,0.04491868158233321,-0.0005210631409822725,-0.014389150851007,0.00467441665708169,-0.020509463825564712,-0.000680795472359875,0.025638864634824586,8.25598484917497e-10
1861,0.06303971911982828,0.005218888762677445,0.04579866073659809,-0.0005511038453492262,-0.015264646998719034,0.004791647625421547,-0.020959874798069815,-0.0006885061753947578,0.026130017237030834,9.51300914545907e-10
1862,0.06425452613323739,0.005471688891728876,0.04672808215035283,-0.0005836035422779581,-0.016114280122207055,0.004909123089204454,-0.021381631780153988,-0.0006973547024006583,0.02659363225981215,1.079086292999652e-09
1863,0.06547413548913956,0.005744258304238439,0.047759701043687805,-0.00061470958592384,-0.01682804658336446,0.005017189511407925,-0.021780596308679956,-0.0007070713376291947,0.027017380721921364,1.2085058334184246e-09
1864,0.0667050067419426,0.006022528838630808,0.04892878247599782,-0.0006481154762080395,-0.017714376690334654,0.005142857774742532,-0.02219458697774098,-0.0007174980951448065,0.02746960831381016,1.3392241359240378e-09
1865,0.06794488117559284,0.006302585897711886,0.050237229484436534,-0.0006849274415957297,-0.018748942031473086,0.005281952855024981,-0.022616366886167884,-0.0007284219288613505,0.027941894875781168,1.4709904714244248e-09
1866,0.06919391221367341,0.006588960175364979,0.05163304238522981,-0.0007251252643879333,-0.019831920022947074,0.005424440306279707,-0.02303908338318881,-0.0007397300084460365,0.028417697666998185,1.6036173382744301e-09
1867,0.07044143482999812,0.006883755690454623,0.05311617883136391,-0.0007652678426555616,-0.020852911889421004,0.005557547488480068,-0.023472324601773068,-0.0007513643300135252,0.028891655329480608,1.7369644498198092e-09
1868,0.07170080838789773,0.007183698744355064,0.05468512075399559,-0.0008093991386709748,-0.022077224384172832,0.005723988742304945,-0.0239545404676944,-0.000764195000113334,0.029425691105794613,1.870926777361956e-09
1869,0.07292709759706281,0.0074933850766906234,0.056273927540774496,-0.0008506856046190149,-0.02322395454921936,0.005878318109081605,-0.02440893075384424,-0.0007769901618475803,0.029913293966410997,2.0054256214398043e-09
1870,0.07407585887222319,0.007806997686147361,0.057833935853189966,-0.0008964175889368739,-0.024527752056545456,0.006037959365830333,-0.024863049629303986,-0.0007898299647422526,0.03041641383151309,2.140401944456478e-09
1871,0.07518485740770477,0.008118892927374768,0.059304503267402366,-0.0009409587066153321,-0.025723655761413885,0.00620183618702398,-0.025361858984823887,-0.0008031340099730551,0.030939755408946647,2.2758113919272692e-09
1872,0.07628049408225955,0.008440222898612263,0.060619796541601566,-0.000994828486806428,-0.0271867149743056,0.006363926885768126,-0.025817521720637778,-0.0008179842879819735,0.03145339763557943,2.4116205746769804e-09
1873,0.07742169414370066,0.00876526573686228,0.061781560800402625,-0.001062211512818055,-0.029096640117547402,0.006558039725375538,-0.02628046042545645,-0.000833958584588791,0.03204415542089255,2.5478042926301123e-09
1874,0.0786435991330661,0.009091957508398103,0.06279260563826716,-0.0011373046899780625,-0.031120296104632142,0.006750489401856875,-0.02672172001073088,-0.0008508989628096153,0.032638839772682136,2.684343461719678e-09
1875,0.0799353936630301,0.009417395409157198,0.06377671765294149,-0.001196582625995095,-0.03246227924852598,0.006881837817114793,-0.027081258313124638,-0.0008685176784322336,0.03308015570649308,2.82122356583789e-09
1876,0.08133149920582673,0.009743397244151394,0.06474075190576427,-0.0012556147039675615,-0.03408601699742485,0.0070168503094243315,-0.02742068925114664,-0.0008866707558233124,0.033534431677667766,2.9584335008532347e-09
1877,0.08280459184032268,0.010061617198238225,0.06565929488457987,-0.0013131981166106428,-0.03559322478833013,0.007130627709327095,-0.027730985477388507,-0.0009052790049004034,0.03394003735477549,3.095964711396323e-09
1878,0.08434135845333843,0.010364928142338005,0.06655965153677594,-0.0013691002468958135,-0.03707311485959029,0.007247971368512202,-0.028037309749513267,-0.0009243145032056504,0.034348526754996944,3.233810546266116e-09
1879,0.08594243337058463,0.010661199267238342,0.06747539213623716,-0.0014210871493097617,-0.038328108136267226,0.00734984728301746,-0.028319758562637413,-0.0009436897628559499,0.034718991260318265,3.3719657770870526e-09
1880,0.08756931612389676,0.010949271897606668,0.06844880050230814,-0.0014877454683974334,-0.04002945800984505,0.007494436194934744,-0.02865372514609656,-0.0009634137024088577,0.035182706422739345,3.5104262388711822e-09
1881,0.08925355510090419,0.01123178139840629,0.0694978586609172,-0.0015877130783553467,-0.04259251330983095,0.007691871880714231,-0.029055082491749498,-0.000983477655915744,0.035823738306594605,3.6491885616108103e-09
1882,0.09101348775615582,0.011500143462330198,0.07058910084206885,-0.001677825195620052,-0.04505923859866882,0.007888715425124758,-0.02941447491349817,-0.0010044411338271033,0.03640843843391876,3.788249969846544e-09
1883,0.09285757311240773,0.011759362591079785,0.0717097686042887,-0.0017709748867434563,-0.04766943948604456,0.008106689279051024,-0.029779662580932783,-0.0010261857220690651,0.037022962792856155,3.927608132995012e-09
1884,0.09469802313253013,0.012008769357235728,0.07286333176837735,-0.0018627689303655206,-0.050525398104344636,0.008343548670815692,-0.03015901272790755,-0.0010484920014097873,0.03764896056124416,4.067261053580345e-09
1885,0.09654550916133751,0.012250517620188176,0.07406492278851112,-0.0019436628283338836,-0.052943956908772905,0.008554588504362796,-0.030497639610405133,-0.0010712712408526563,0.038190576348015925,4.207206983769795e-09
1886,0.09846306679938217,0.012484883465753679,0.0753425766288778,-0.0020158464549291373,-0.05492829311100983,0.008735518589391773,-0.030795630682844435,-0.0010944450400518732,0.03864712959357621,4.347444363044979e-09
1887,0.10046595429081685,0.012709420087474521,0.07667025059577418,-0.00209345507244981,-0.05659838710037416,0.0089057434656939,-0.031070181905945113,-0.0011179935812595703,0.03907355710209423,4.487971771655721e-09
1888,0.10255317889730284,0.012935517194594187,0.07806933418271528,-0.002184248424701247,-0.05852118789470424,0.009095009109984075,-0.0313563728925999,-0.0011418375216889138,0.03954619571799986,4.628787895859439e-09
1889,0.10476668405407676,0.0131518592863243,0.07951050245481245,-0.0023081463022593305,-0.06156014505141969,0.00936885659404236,-0.03173332174133382,-0.0011663094917200385,0.04021770355519305,4.76989150196105e-09
1890,0.10707758147606297,0.013372446047068196,0.08101208583232751,-0.0024165183152771172,-0.06392851197784259,0.009573555470184852,-0.03202708978341712,-0.0011911675394440943,0.04075449844567715,4.91128141692462e-09
1891,0.10945362545486562,0.013583534992880225,0.08255923756618957,-0.002556279875173005,-0.06721891622109766,0.009854517394138736,-0.03240513027584465,-0.0012166029388223875,0.04150266736624167,5.052956513892383e-09
1892,0.11190267749599293,0.01378408118708607,0.08414791226105557,-0.00269962007777774,-0.07069618742354868,0.01013988171860726,-0.032777629834390205,-0.0012425980926446777,0.04226211717312569,5.194915701368137e-09
